tiktok link,video views,comments,likes,video caption / description,video duration,shares,bookmarks / saves,sound link,video id,total followers,date posted,time posted,caption length,total hashtags,generic hashtags,unique hashtags,unique generic ratio,likes views ratio,log video views,days since start
https://www.tiktok.com/@1stvows/video/7364449018694454571,1265,7,108,"Day 16 of cassette covers. Song: Penny & the Quarters - “You and Me” My initial association with this tune was through the movie, Blue Valentine, but that eventually changed when my friends Mike & Jaclyn decided to get married. They had met as strangers at one of my shows many years prior, so leading up to the wedding, their friends reached out to me to see if I could play at the reception being as though I was a part of their story. Unfortunately, I couldn’t make it, but I sent a video of myself playing this song instead, which (initially unbeknownst to me) their friends played for them at their rehearsal dinner.  That’s now my association with this song. The story of the song and artist behind it is also incredible, so if you find a moment, that’s a great read. .  . . . . . . . . . . . @thenumerogroup #cover #coversong #1stvows #music #pennyandthequarters #numerogroup #fy #fyp #fypage ",99,2,7,https://www.tiktok.com/music/original-sound-7364449108179831594,7364449018694454571,4887.0,2024-05-02,1023,814,9,3,6,0.6666666666666666,0.0853754940711462,7.143617602704121,118
https://www.tiktok.com/@1stvows/video/7363341878693186862,2826,13,241,Day 15 of cassette covers. @The Killers “When You Were Young” #cover #coversong #1stvows #thekillers #fy #fyp ,82,13,30,https://www.tiktok.com/music/original-sound-7363341934805060395,7363341878693186862,4887.0,2024-04-29,1047,61,6,1,5,0.8333333333333334,0.0852795470629865,7.946971357693591,115
https://www.tiktok.com/@1stvows/video/7355925819841219886,586,2,39,"Day 14 of doing covers on cassette tapes. Song: Arlo Parks - “Cola” Arlo was a quarantine discovery for me, via a friend who introduced me to lots of good music. This song is one of those ones that frustrates me in its simplicity. I imagine most people underestimate how difficult it is to make something so good yet so simple at the core.  .  . . . . . . . . . . . #fyp #fy #fypシ #fypage #music #covers #cover #coversong #arloparks #cola #cassettecovers #1stvows ",84,1,5,https://www.tiktok.com/music/original-sound-7355925952217762606,7355925819841219886,4887.0,2024-04-09,1069,365,12,3,9,0.75,0.0665529010238907,6.375024819828097,95
https://www.tiktok.com/@1stvows/video/7354119012885876014,795,1,63,Day 13 of covers on cassettes.  Daft Punk / Julian Casablancas - “Instant Crush” #daftpunk #fyp #fy #fypシ #coversong #1stvows #cassettecovers ,51,2,9,https://www.tiktok.com/music/original-sound-7354119074307132202,7354119012885876014,4887.0,2024-04-04,1257,80,7,1,6,0.8571428571428571,0.0792452830188679,6.679599185844383,90
https://www.tiktok.com/@1stvows/video/7348457282910375210,1066,6,62,Day 11 of covers on cassettes. “Dashboard” #fy #fyp #fypシ #cover #coversong ,82,1,5,https://www.tiktok.com/music/original-sound-7348457550297303851,7348457282910375210,4887.0,2024-03-20,888,42,5,1,4,0.8,0.0581613508442776,6.9726062513017535,75
https://www.tiktok.com/@1stvows/video/7347754315882171691,1913,6,87,Day 10. Blood Orange. “Time Will Tell” #fypシ #fym #fy #cover #coversong  #bloodorange ,54,0,10,https://www.tiktok.com/music/original-sound-7347754372043950890,7347754315882171691,4887.0,2024-03-18,1039,38,6,0,6,1.0,0.0454783063251437,7.5569505720129,73
https://www.tiktok.com/@1stvows/video/7346273464229039402,682,2,41,Day 10.  Blood Orange - “Time Will Tell” #fym #fyp #fy #foryou #foryoupage #music #cover #coversong #coversongs,54,0,1,https://www.tiktok.com/music/original-sound-7346273518037830446,7346273464229039402,4887.0,2024-03-14,1053,40,9,3,6,0.6666666666666666,0.0601173020527859,6.52649485957079,69
https://www.tiktok.com/@1stvows/video/7343948444299578666,650,2,46,Day 8 of recprding covers to cassettes.  #fy #fyp #music #fym ,72,0,3,https://www.tiktok.com/music/original-sound-7343948499840453422,7343948444299578666,4887.0,2024-03-08,671,39,4,2,2,0.5,0.0707692307692307,6.478509642208569,63
https://www.tiktok.com/@1stvows/video/7342909031746424106,624,2,32,"Day 7 of recording covers to cassette tapes. Song: Rancid - “Olympia, WA” I am not a nostalgic music listener. I am of the unpopular opinion that the bulk of what I listened to in my teenage years did not age well. Rancid is one of a few exceptions. “…And Out Come The Wolves” is a timeless classic. #fy #fyp #music #rancid #cover #coversong #coversongs #1stvows #cassette #cassettecovers ",85,3,4,https://www.tiktok.com/music/original-sound-7342909095340444459,7342909031746424106,4887.0,2024-03-05,957,299,10,2,8,0.8,0.0512820512820512,6.437751649736401,60
https://www.tiktok.com/@1stvows/video/7340770624140528942,817,1,66,"Stay till the end for a treat… Day 6 of recording covers to cassette tapes cause I had a nightmare that I lost my voice.  Song: Gorillaz - “Melancholy Hill” I can’t possibly pick a favorite Gorillaz song, but Plastic Beach is definitely my favorite Gorillaz record.  . . . . . . . . . . . @Gorillaz   #fyp #gorillaz #melancholyhill #covers #coversong #coversongs #fy #discover #music #cassettecovers #1stvows ",69,0,8,https://www.tiktok.com/music/original-sound-7340770789116169006,7340770624140528942,4887.0,2024-02-28,1299,298,11,2,9,0.8181818181818182,0.0807833537331701,6.706862336602747,54
https://www.tiktok.com/@1stvows/video/7339981657119755551,562,5,57,"Day 5 of recording covers to cassette tapes cause I had a nightmare that I lost my voice.  Song: Bowie - “Heroes” Always daunting when tampering with an iconic song. Especially when the person behind it is your wife’s favorite artist of all time. This one is for you, Adri.  . . . . . . . . . . . @davidbowie #cassettecovers #1stvows #music #musicstudio #covers #coversongs #film #recording #recordingstudio #coversong #acoustic #marantz #bmpcc #bmpcc4k #davidbowie #heroes #bowie #1976 #fyp #fy #producers #tiktok ",67,2,5,https://www.tiktok.com/music/original-sound-7339981697847069470,7339981657119755551,4887.0,2024-02-26,1117,308,22,3,19,0.8636363636363636,0.1014234875444839,6.333279628139691,52
https://www.tiktok.com/@1stvows/video/7338507607969402158,615,4,40,Day 4 of doing covers on cassettes.  @Sylvan Esso - “Die Young” #fy #fyp #cover #coversongs #covers #sylvanesso #1stvows #cassette #music #studio ,84,1,3,https://www.tiktok.com/music/original-sound-7338507668187401003,7338507607969402158,4887.0,2024-02-22,1157,63,10,2,8,0.8,0.065040650406504,6.423246963533519,48
https://www.tiktok.com/@1stvows/video/7334788217025203498,1123,13,85,Day 1 of recording covers to cassette tapes because I’m tired of screens and I had a nightmare I lost my voice forever.  Call it an experiment. Call it an exercise. Call it a dramatic and elaborate response to a bad dream.  Song: Queens of the Stone Age - “Go with the Flow” . . . . . . . . . . . @queensofthestoneage  #cassettecovers #1stvows #music #musicstudio #covers #coversongs #film #recording #recordingstudio #coversong #acoustic #fyp #foryou #foryoupage #f ,70,2,7,https://www.tiktok.com/music/original-sound-7334788388001827626,7334788217025203498,4887.0,2024-02-12,1125,317,15,4,11,0.7333333333333333,0.0756901157613535,7.024649030453636,38
